10001,2010-01-01,1,1,1,January,2010
10002,2010-01-02,2,1,1,January,2010
10003,2010-01-03,3,2,1,January,2010
10004,2010-01-04,4,2,1,January,2010
10005,2010-01-05,5,2,1,January,2010
10006,2010-01-06,6,2,1,January,2010
10007,2010-01-07,7,2,1,January,2010
10008,2010-01-08,8,2,1,January,2010
10009,2010-01-09,9,2,1,January,2010
10010,2010-01-10,10,3,1,January,2010
10011,2010-01-11,11,3,1,January,2010
10012,2010-01-12,12,3,1,January,2010
10013,2010-01-13,13,3,1,January,2010
10014,2010-01-14,14,3,1,January,2010
10015,2010-01-15,15,3,1,January,2010
10016,2010-01-16,16,3,1,January,2010
10017,2010-01-17,17,4,1,January,2010
10018,2010-01-18,18,4,1,January,2010
10019,2010-01-19,19,4,1,January,2010
10020,2010-01-20,20,4,1,January,2010
10021,2010-01-21,21,4,1,January,2010
10022,2010-01-22,22,4,1,January,2010
10023,2010-01-23,23,4,1,January,2010
10024,2010-01-24,24,5,1,January,2010
10025,2010-01-25,25,5,1,January,2010
10026,2010-01-26,26,5,1,January,2010
10027,2010-01-27,27,5,1,January,2010
10028,2010-01-28,28,5,1,January,2010
10029,2010-01-29,29,5,1,January,2010
10030,2010-01-30,30,5,1,January,2010
10031,2010-01-31,31,6,1,January,2010
10032,2010-02-01,1,6,2,February,2010
10033,2010-02-02,2,6,2,February,2010
10034,2010-02-03,3,6,2,February,2010
10035,2010-02-04,4,6,2,February,2010
10036,2010-02-05,5,6,2,February,2010
10037,2010-02-06,6,6,2,February,2010
10038,2010-02-07,7,7,2,February,2010
10039,2010-02-08,8,7,2,February,2010
10040,2010-02-09,9,7,2,February,2010
10041,2010-02-10,10,7,2,February,2010
10042,2010-02-11,11,7,2,February,2010
10043,2010-02-12,12,7,2,February,2010
10044,2010-02-13,13,7,2,February,2010
10045,2010-02-14,14,8,2,February,2010
10046,2010-02-15,15,8,2,February,2010
10047,2010-02-16,16,8,2,February,2010
10048,2010-02-17,17,8,2,February,2010
10049,2010-02-18,18,8,2,February,2010
10050,2010-02-19,19,8,2,February,2010
10051,2010-02-20,20,8,2,February,2010
10052,2010-02-21,21,9,2,February,2010
