1,13391,105,6,4,58.24,CAD
2,13016,105,3,83,388.44,CAD
3,13232,104,7,98,310.66,CAD
4,13978,105,3,92,430.56,CAD
5,12385,106,3,64,299.52,CAD
6,11824,101,1,18,89.64,CAD
7,12477,103,3,59,276.12,CAD
8,12090,102,4,86,2322.0,CAD
9,12395,101,5,78,778.44,CAD
10,12544,101,5,52,518.96,CAD
11,13603,104,8,82,1635.08,CAD
12,13035,106,1,79,393.42,CAD
13,11170,103,3,23,107.64,CAD
14,10830,102,6,79,1150.24,CAD
15,11672,101,2,41,233.29,CAD
16,12289,101,5,47,469.06,CAD
17,13411,104,9,76,218.88,CAD
18,11426,103,1,65,323.7,CAD
19,12271,103,2,28,159.32,CAD
20,12874,106,4,93,2511.0,CAD
21,13319,106,3,68,318.24,CAD
22,13901,102,9,19,54.72,CAD
23,11484,101,10,82,161.54,CAD
24,10676,103,5,28,279.44,CAD
25,11368,103,8,46,917.24,CAD
26,10138,106,9,6,17.28,CAD
27,13819,106,1,48,239.04,CAD
28,11430,106,3,7,32.76,CAD
29,11772,103,10,37,72.89,CAD
30,11238,103,4,76,2052.0,CAD
31,10464,106,5,51,508.98,CAD
32,11543,106,9,48,138.24,CAD
33,12836,102,3,16,74.88,CAD
34,12172,102,5,11,109.78,CAD
35,10927,105,4,55,1485.0,CAD
36,10835,103,5,23,229.54,CAD
37,10788,105,3,37,173.16,CAD
38,11445,105,4,8,216.0,CAD
39,13771,101,1,99,493.02,CAD
40,12594,101,5,39,389.22,CAD
41,10219,101,10,86,169.42,CAD
42,12892,106,8,69,1375.86,CAD
43,11222,105,9,1,2.88,CAD
44,12758,101,5,83,828.34,CAD
45,12805,105,1,15,74.7,CAD
46,10330,105,9,8,23.04,CAD
47,10306,105,7,43,136.31,CAD
48,10774,104,6,50,728.0,CAD
49,12426,103,5,76,758.48,CAD
50,13057,105,8,45,897.3,CAD
51,10249,104,3,52,243.36,CAD
52,11362,106,3,55,257.4,CAD
53,10387,102,4,26,702.0,CAD
54,12319,104,9,22,63.36,CAD
55,10792,102,5,60,598.8,CAD
56,11291,104,2,90,512.1,CAD
57,10691,103,7,4,12.68,CAD
58,12649,103,4,86,2322.0,CAD
59,13720,102,9,39,112.32,CAD
60,12932,105,10,22,43.34,CAD
61,13577,104,4,64,1728.0,CAD
62,11268,102,1,44,219.12,CAD
63,12546,105,6,72,1048.32,CAD
64,12624,102,5,61,608.78,CAD
65,12735,105,10,1,1.97,CAD
66,11074,102,4,25,675.0,CAD
67,12952,101,4,91,2457.0,CAD
